region,year,births
Белгородская область,2015,17773
Белгородская область,2016,17247
Белгородская область,2017,15093
Белгородская область,2018,14317
Белгородская область,2019,13183
Белгородская область,2020,12294
Брянская область,2015,14070
Брянская область,2016,13364
Брянская область,2017,11548
Брянская область,2018,11129
Брянская область,2019,9956
Брянская область,2020,9511
Владимирская область,2015,16214
Владимирская область,2016,15654
Владимирская область,2017,13356
Владимирская область,2018,12693
Владимирская область,2019,11101
Владимирская область,2020,10072
Воронежская область,2015,25801
Воронежская область,2016,24936
Воронежская область,2017,22370
Воронежская область,2018,21470
Воронежская область,2019,19576
Воронежская область,2020,19073
Ивановская область,2015,11753
Ивановская область,2016,11147
Ивановская область,2017,9885
Ивановская область,2018,9117
Ивановская область,2019,7938
Ивановская область,2020,7525
Калужская область,2015,12774
Калужская область,2016,12252
Калужская область,2017,10955
Калужская область,2018,10355
Калужская область,2019,8924
Калужская область,2020,8968
Костромская область,2015,8151
Костромская область,2016,7829
Костромская область,2017,6902
Костромская область,2018,6230
Костромская область,2019,5761
Костромская область,2020,5376
Курская область,2015,13032
Курская область,2016,12403
Курская область,2017,10732
Курская область,2018,10256
Курская область,2019,9246
Курская область,2020,9136
Липецкая область,2015,13428
Липецкая область,2016,13094
Липецкая область,2017,11563
Липецкая область,2018,10884
Липецкая область,2019,9788
Липецкая область,2020,9441
Московская область,2015,94186
Московская область,2016,96643
Московская область,2017,88750
Московская область,2018,83088
Московская область,2019,72466
Московская область,2020,79057
Орловская область,2015,8562
Орловская область,2016,8272
Орловская область,2017,7128
Орловская область,2018,6710
Орловская область,2019,5949
Орловская область,2020,5755
Рязанская область,2015,12560
Рязанская область,2016,12792
Рязанская область,2017,11006
Рязанская область,2018,10273
Рязанская область,2019,9236
Рязанская область,2020,8676
Смоленская область,2015,10133
Смоленская область,2016,9845
Смоленская область,2017,8680
Смоленская область,2018,7814
Смоленская область,2019,7079
Смоленская область,2020,6537
Тамбовская область,2015,10324
Тамбовская область,2016,10047
Тамбовская область,2017,8873
Тамбовская область,2018,8289
Тамбовская область,2019,7744
Тамбовская область,2020,7419
Тверская область,2015,14720
Тверская область,2016,14489
Тверская область,2017,12791
Тверская область,2018,11605
Тверская область,2019,10680
Тверская область,2020,10086
Тульская область,2015,15817
Тульская область,2016,15264
Тульская область,2017,13351
Тульская область,2018,12321
Тульская область,2019,11232
Тульская область,2020,10735
Ярославская область,2015,15461
Ярославская область,2016,15323
Ярославская область,2017,13309
Ярославская область,2018,12386
Ярославская область,2019,11172
Ярославская область,2020,10637
Москва,2015,142210
Москва,2016,145264
Москва,2017,133653
Москва,2018,132192
Москва,2019,135637
Москва,2020,125566
Республика Карелия,2015,7726
Республика Карелия,2016,7528
Республика Карелия,2017,6439
Республика Карелия,2018,6050
Республика Карелия,2019,5491
Республика Карелия,2020,5194
Республика Коми,2015,11789
Республика Коми,2016,11220
Республика Коми,2017,9736
Республика Коми,2018,8561
Республика Коми,2019,7918
Республика Коми,2020,7587
Ненецкий автономный округ,2015,767
Ненецкий автономный округ,2016,810
Ненецкий автономный округ,2017,669
Ненецкий автономный округ,2018,618
Ненецкий автономный округ,2019,585
Ненецкий автономный округ,2020,599
Архангельская область,2015,13895
Архангельская область,2016,13276
Архангельская область,2017,11722
Архангельская область,2018,10630
Архангельская область,2019,9642
Архангельская область,2020,8886
Вологодская область,2015,16350
Вологодская область,2016,15725
Вологодская область,2017,13492
Вологодская область,2018,12312
Вологодская область,2019,11172
Вологодская область,2020,10749
Калининградская область,2015,12399
Калининградская область,2016,12189
Калининградская область,2017,10876
Калининградская область,2018,10326
Калининградская область,2019,9293
Калининградская область,2020,9254
