sex,region,year,births
Женщины,Белгородская область,2015,8610
Женщины,Белгородская область,2016,8369
Женщины,Белгородская область,2017,7214
Женщины,Белгородская область,2018,6962
Женщины,Белгородская область,2019,6294
Женщины,Белгородская область,2020,6017
Женщины,Брянская область,2015,6701
Женщины,Брянская область,2016,6562
Женщины,Брянская область,2017,5664
Женщины,Брянская область,2018,5360
Женщины,Брянская область,2019,4846
Женщины,Брянская область,2020,4560
Женщины,Владимирская область,2015,7869
Женщины,Владимирская область,2016,7521
Женщины,Владимирская область,2017,6541
Женщины,Владимирская область,2018,6279
Женщины,Владимирская область,2019,5417
Женщины,Владимирская область,2020,4828
Женщины,Воронежская область,2015,12396
Женщины,Воронежская область,2016,12061
Женщины,Воронежская область,2017,10862
Женщины,Воронежская область,2018,10481
Женщины,Воронежская область,2019,9392
Женщины,Воронежская область,2020,9310
Женщины,Ивановская область,2015,5680
Женщины,Ивановская область,2016,5403
Женщины,Ивановская область,2017,4764
Женщины,Ивановская область,2018,4389
Женщины,Ивановская область,2019,3831
Женщины,Ивановская область,2020,3691
Женщины,Калужская область,2015,6194
Женщины,Калужская область,2016,6023
Женщины,Калужская область,2017,5357
Женщины,Калужская область,2018,5033
Женщины,Калужская область,2019,4303
Женщины,Калужская область,2020,4377
Женщины,Костромская область,2015,3951
Женщины,Костромская область,2016,3852
Женщины,Костромская область,2017,3331
Женщины,Костромская область,2018,2954
Женщины,Костромская область,2019,2803
Женщины,Костромская область,2020,2651
Женщины,Курская область,2015,6418
Женщины,Курская область,2016,6055
Женщины,Курская область,2017,5224
Женщины,Курская область,2018,4985
Женщины,Курская область,2019,4486
Женщины,Курская область,2020,4373
Женщины,Липецкая область,2015,6537
Женщины,Липецкая область,2016,6387
Женщины,Липецкая область,2017,5594
Женщины,Липецкая область,2018,5274
Женщины,Липецкая область,2019,4770
Женщины,Липецкая область,2020,4500
Женщины,Московская область,2015,45786
Женщины,Московская область,2016,47075
Женщины,Московская область,2017,42909
Женщины,Московская область,2018,40198
Женщины,Московская область,2019,35184
Женщины,Московская область,2020,38258
Женщины,Орловская область,2015,4115
Женщины,Орловская область,2016,3966
Женщины,Орловская область,2017,3535
Женщины,Орловская область,2018,3228
Женщины,Орловская область,2019,2919
Женщины,Орловская область,2020,2769
Женщины,Рязанская область,2015,6163
Женщины,Рязанская область,2016,6111
Женщины,Рязанская область,2017,5315
Женщины,Рязанская область,2018,4987
Женщины,Рязанская область,2019,4552
Женщины,Рязанская область,2020,4164
Женщины,Смоленская область,2015,4856
Женщины,Смоленская область,2016,4811
Женщины,Смоленская область,2017,4199
Женщины,Смоленская область,2018,3814
Женщины,Смоленская область,2019,3379
Женщины,Смоленская область,2020,3154
Женщины,Тамбовская область,2015,4954
Женщины,Тамбовская область,2016,4840
Женщины,Тамбовская область,2017,4276
Женщины,Тамбовская область,2018,4095
Женщины,Тамбовская область,2019,3727
Женщины,Тамбовская область,2020,3567
Женщины,Тверская область,2015,7127
Женщины,Тверская область,2016,7149
Женщины,Тверская область,2017,6159
Женщины,Тверская область,2018,5607
Женщины,Тверская область,2019,5277
Женщины,Тверская область,2020,4852
Женщины,Тульская область,2015,7737
Женщины,Тульская область,2016,7380
Женщины,Тульская область,2017,6524
Женщины,Тульская область,2018,6014
Женщины,Тульская область,2019,5481
Женщины,Тульская область,2020,5153
Женщины,Ярославская область,2015,7554
Женщины,Ярославская область,2016,7536
Женщины,Ярославская область,2017,6420
Женщины,Ярославская область,2018,6007
Женщины,Ярославская область,2019,5456
Женщины,Ярославская область,2020,5166
Женщины,Москва,2015,68854
Женщины,Москва,2016,70455
Женщины,Москва,2017,64677
Женщины,Москва,2018,63592
Женщины,Москва,2019,65851
Женщины,Москва,2020,60910
Женщины,Республика Карелия,2015,3713
Женщины,Республика Карелия,2016,3711
Женщины,Республика Карелия,2017,3120
Женщины,Республика Карелия,2018,2916
Женщины,Республика Карелия,2019,2646
Женщины,Республика Карелия,2020,2525
Женщины,Республика Коми,2015,5706
Женщины,Республика Коми,2016,5422
Женщины,Республика Коми,2017,4845
Женщины,Республика Коми,2018,4144
Женщины,Республика Коми,2019,3876
Женщины,Республика Коми,2020,3718
Женщины,Ненецкий автономный округ,2015,365
Женщины,Ненецкий автономный округ,2016,384
Женщины,Ненецкий автономный округ,2017,350
Женщины,Ненецкий автономный округ,2018,279
Женщины,Ненецкий автономный округ,2019,275
Женщины,Ненецкий автономный округ,2020,278
Женщины,Архангельская область,2015,6680
Женщины,Архангельская область,2016,6381
Женщины,Архангельская область,2017,5721
Женщины,Архангельская область,2018,5093
Женщины,Архангельская область,2019,4672
Женщины,Архангельская область,2020,4380
Женщины,Вологодская область,2015,8016
Женщины,Вологодская область,2016,7759
Женщины,Вологодская область,2017,6648
Женщины,Вологодская область,2018,5908
Женщины,Вологодская область,2019,5457
Женщины,Вологодская область,2020,5247
Женщины,Калининградская область,2015,6138
Женщины,Калининградская область,2016,5937
Женщины,Калининградская область,2017,5299
Женщины,Калининградская область,2018,4899
Женщины,Калининградская область,2019,4441
Женщины,Калининградская область,2020,4548
Женщины,Ленинградская область,2015,7750
Женщины,Ленинградская область,2016,7974
Женщины,Ленинградская область,2017,7262
Женщины,Ленинградская область,2018,6820
Женщины,Ленинградская область,2019,6514
Женщины,Ленинградская область,2020,6349
Женщины,Мурманская область,2015,4408
Женщины,Мурманская область,2016,4173
Женщины,Мурманская область,2017,3778
Женщины,Мурманская область,2018,3565
Женщины,Мурманская область,2019,3304
Женщины,Мурманская область,2020,3169
Женщины,Новгородская область,2015,3490
Женщины,Новгородская область,2016,3464
Женщины,Новгородская область,2017,3027
Женщины,Новгородская область,2018,2792
Женщины,Новгородская область,2019,2433
Женщины,Новгородская область,2020,2352
Женщины,Псковская область,2015,3450
Женщины,Псковская область,2016,3444
Женщины,Псковская область,2017,2969
Женщины,Псковская область,2018,2839
Женщины,Псковская область,2019,2624
Женщины,Псковская область,2020,2367
Женщины,Санкт-Петербург,2015,34224
Женщины,Санкт-Петербург,2016,35445
Женщины,Санкт-Петербург,2017,32248
Женщины,Санкт-Петербург,2018,31073
Женщины,Санкт-Петербург,2019,28553
Женщины,Санкт-Петербург,2020,26891
Женщины,Республика Адыгея,2015,2723
Женщины,Республика Адыгея,2016,2571
